Key,English
zombieUtilityWorkerFeral,Feral Utility Worker
zombieUtilityWorkerInfernal,Infernal Utility Worker
zombieUtilityWorkerRadiated,Radiated Utility Worker

zombieWight,Wight
zombieWightCharged,Charged Wight
zombieWightFeral,Feral Wight
zombieWightInfernal,Infernal Wight
zombieWightRadiated,Radiated Wight

zombieYo,Mel Gibson
zombieYoCharged,Charged Mel Gibson
zombieYoFeral,Feral Mel Gibson
zombieYoInfernal,Infernal Mel Gibson
zombieYoRadiated,Radiated Mel Gibson
